text,pos
NEVER,ADV
LET,VERB
ME,PRON
GO,VERB
THE,DET
AMBER,PROPN
SPYGLASS,PROPN
BETWEEN,ADP
THE,DET
WORLD,PROPN
AND,CCONJ
ME,PRON
HALF,NOUN
OF,ADP
A,DET
YELLOW,PROPN
SUN,PROPN
MY,PRON
BRILLIANT,ADJ
FRIEND,NOUN
THE,DET
PLOT,PROPN
AGAINST,ADP
AMERICA,PROPN
NICKEL,NOUN
AND,CCONJ
DIMED,PROPN
THE,DET
SIXTH,PROPN
EXTINCTION,NOUN
THE,DET
SHOCK,PROPN
DOCTRINE,PROPN
THE,DET
CURIOUS,PROPN
INCIDENT,PROPN
OF,ADP
THE,DET
DOG,PROPN
IN,ADP
THE,DET
NIGHT,PROPN
TIME,NOUN
LIFE,NOUN
AFTER,ADP
LIFE,NOUN
TENTH,ADJ
OF,ADP
DECEMBER,PROPN
THE,DET
NOONDAY,PROPN
DEMON,PROPN
A,DET
VISIT,NOUN
FROM,ADP
THE,DET
GOON,PROPN
SQUAD,PROPN
CAPITAL,NOUN
IN,ADP
THE,DET
TWENTY,PROPN
FIRST,PROPN
CENTURY,PROPN
HATESHIP,PROPN
FRIENDSHIP,PROPN
COURTSHIP,PROPN
LOVESHIP,PROPN
MARRIAGE,NOUN
A,DET
DEATH,NOUN
IN,ADP
THE,DET
FAMILY,NOUN
THE,DET
UNDERGROUND,PROPN
RAILROAD,PROPN
THE,DET
EMPEROR,PROPN
OF,ADP
ALL,DET
MALADIES,NOUN
THE,DET
HARE,PROPN
WITH,ADP
AMBER,PROPN
EYES,NOUN
THE,DET
GREEN,PROPN
ROAD,PROPN
THE,DET
LINE,PROPN
OF,ADP
BEAUTY,PROPN
THE,DET
YEAR,PROPN
OF,ADP
MAGICAL,PROPN
THINKING,NOUN
HOPE,VERB
IN,ADP
THE,DET
DARK,NOUN
LEVELS,NOUN
OF,ADP
LIFE,PROPN
WHY,SCONJ
BE,AUX
HAPPY,ADJ
WHEN,SCONJ
YOU,PRON
COULD,AUX
BE,AUX
NORMAL,ADJ
ORYX,PROPN
AND,CCONJ
CRAKE,PROPN
TRUE,ADJ
HISTORY,NOUN
OF,ADP
THE,DET
KELLY,PROPN
GANG,PROPN
WOMEN,PROPN
AND,CCONJ
POWER,PROPN
THE,DET
OMNIVORE,PROPN
'S,PART
DILEMMA,PROPN
THE,DET
AMAZING,PROPN
ADVENTURES,PROPN
OF,ADP
KAVALIER,PROPN
AND,CCONJ
CLAY,PROPN
THE,DET
BEAUTY,PROPN
OF,ADP
THE,DET
HUSBAND,NOUN
THIS,DET
HOUSE,PROPN
OF,ADP
GRIEF,PROPN
MOTHER,PROPN
'S,PART
MILK,NOUN
THE,DET
IMMORTAL,PROPN
LIFE,PROPN
OF,ADP
HENRIETTA,PROPN
LACKS,NOUN
SEVEN,NUM
BRIEF,PROPN
LESSONS,PROPN
ON,ADP
PHYSICS,NOUN
THE,DET
SILENCE,PROPN
OF,ADP
THE,DET
GIRLS,NOUN
THE,DET
CONSTANT,PROPN
GARDENER,PROPN
NOTES,NOUN
ON,ADP
A,DET
SCANDAL,NOUN
JIMMY,PROPN
CORRIGAN,PROPN
THE,DET
SMARTEST,PROPN
KID,PROPN
ON,ADP
EARTH,PROPN
THE,DET
AGE,PROPN
OF,ADP
SURVEILLANCE,PROPN
CAPITALISM,PROPN
NOTHING,PRON
TO,ADP
ENVY,VERB
DAYS,NOUN
WITHOUT,ADP
END,NOUN
DRIVE,VERB
YOUR,PRON
PLOW,PROPN
OVER,ADP
THE,DET
BONES,PROPN
OF,ADP
THE,DET
DEAD,NOUN
THINKING,VERB
FAST,ADJ
AND,CCONJ
SLOW,VERB
SIGNS,NOUN
PRECEDING,VERB
THE,DET
END,NOUN
OF,ADP
THE,DET
WORLD,NOUN
THE,DET
FIFTH,PROPN
SEASON,PROPN
THE,DET
SPIRIT,PROPN
LEVEL,PROPN
STORIES,NOUN
OF,ADP
YOUR,PRON
LIFE,NOUN
AND,CCONJ
OTHERS,NOUN
TELL,VERB
ME,PRON
HOW,SCONJ
IT,PRON
ENDS,VERB
THE,DET
COST,NOUN
OF,ADP
LIVING,NOUN
THE,DET
GOD,PROPN
DELUSION,PROPN
ADULTS,NOUN
IN,ADP
THE,DET
ROOM,NOUN
NOUGHTS,NOUN
AND,CCONJ
CROSSES,NOUN
THE,DET
TIPPING,NOUN
POINT,NOUN
A,DET
LITTLE,ADJ
LIFE,NOUN
HARRY,PROPN
POTTER,PROPN
AND,CCONJ
THE,DET
GOBLET,PROPN
OF,ADP
FIRE,PROPN
THE,DET
GIRL,PROPN
WITH,ADP
THE,DET
DRAGON,PROPN
TATTOO,PROPN
I,PRON
FEEL,VERB
BAD,ADJ
ABOUT,ADP
MY,PRON
NECK,NOUN
